NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA
Santarém Novo,6.348
Santo Antônio do Tauá,29.134
São Caetano de Odivelas,17.248
São Domingos do Araguaia,21.638
São Domingos do Capim,32.449
São Félix do Xingu,65.957
São Francisco do Pará,15.418
São Geraldo do Araguaia,24.978
São João da Ponta,4.509
São João de Pirabas,21.447
São João do Araguaia,14.246
São Miguel do Guamá,55.798
São Sebastião da Boa Vista,27.441
Sapucaia,6.160
Senador José Porfírio,24.441
Soure,25.218
Tailândia,75.526
Terra Alta,10.815
Terra Santa,19.667
Tomé-Açu,72.326
Tracuateua,30.373
Trairão,15.619
Tucumã,42.480
Tucuruí,96.238
Ulianópolis,39.576
Uruará,45.939
Vigia,53.806
Viseu,61.970
Vitória do Xingu,16.414
Xinguara,56.999
Serra do Navio,4.986
Amapá,8.434
Pedra Branca do Amapari,13.798
Calçoene,11.391
Cutias,4.725
Ferreira Gomes,7.145
Itaubal,6.043
Laranjal do Jari,37.969
Macapá,487.200
Mazagão,23.575
Oiapoque,30.481
Porto Grande,18.988
Pracuúba,4.042
Santana,118.353
Tartarugalzinho,13.785
Vitória do Jari,11.922
Abreulândia,2.668
Aguiarnópolis,4.537
Aliança do Tocantins,5.222
Almas,6.542
Alvorada,9.094
Ananás,10.662
Angico,2.918
Aparecida do Rio Negro,5.067
Aragominas,5.360
Araguacema,6.039
Araguaçu,8.273
Araguaína,181.493
Araguanã,4.338
Araguatins,33.205
Arapoema,5.553
Arraias,10.522
Augustinópolis,18.128
Aurora do Tocantins,3.420
Axixá do Tocantins,10.663
Babaçulândia,7.779
Bandeirantes do Tocantins,3.534
Barra do Ouro,4.641
Barrolândia,4.915
Bernardo Sayão,4.316
Bom Jesus do Tocantins,4.181
Brasilândia do Tocantins,2.016
Brejinho de Nazaré,4.796
Buriti do Tocantins,10.654
Cachoeirinha,1.991
Campos Lindos,8.951
Cariri do Tocantins,4.147
Carmolândia,2.246
Carrasco Bonito,3.362
Caseara,5.009
Centenário,2.135
Chapada de Areia,1.563
Chapada da Natividade,3.182
Colinas do Tocantins,35.957
Combinado,4.896
Conceição do Tocantins,3.956
Couto Magalhães,5.515
Cristalândia,6.437
Crixás do Tocantins,1.499
Darcinópolis,6.054
Dianópolis,18.031
Divinópolis do Tocantins,7.297
Dois Irmãos do Tocantins,6.395
Dueré,4.321
Esperantina,7.493
Fátima,3.520
Figueirópolis,5.336
Filadélfia,7.823
Formoso do Araguaia,19.428
Tabocão,3.676
Goianorte,4.840
Goiatins,12.816
Guaraí,25.681
Gurupi,89.574
Ipueiras,1.627
Itacajá,6.969
Itaguatins,5.206
Itapiratins,3.679
Itaporã do Tocantins,2.464
Jaú do Tocantins,3.403
Juarina,2.305
Lagoa da Confusão,16.312
Lagoa do Tocantins,3.610
Lajeado,3.520
Lavandeira,1.673
Lizarda,2.991
Luzinópolis,2.803
Marianópolis do Tocantins,4.772
Mateiros,2.888
Maurilândia do Tocantins,3.171
Miracema do Tocantins,18.787
Miranorte,13.056
Monte do Carmo,5.722
Monte Santo do Tocantins,2.500
Palmeiras do Tocantins,4.897
Muricilândia,3.485
Natividade,8.961
Nazaré,4.660
Nova Olinda,10.609
Nova Rosalândia,3.403
Novo Acordo,4.102
Novo Alegre,1.841
Novo Jardim,2.263
Oliveira de Fátima,1.211
Palmeirante,4.909
Palmeirópolis,7.119
Paraíso do Tocantins,55.164
Paranã,10.854
Pau D'Arco,4.085
Pedro Afonso,14.731
Peixe,9.438
Pequizeiro,5.038
Colméia,9.158
Pindorama do Tocantins,4.596
Piraquê,2.265
Pium,7.375
Ponte Alta do Bom Jesus,4.295
Ponte Alta do Tocantins,7.842
Porto Alegre do Tocantins,2.953
Porto Nacional,68.555
Praia Norte,9.460
Presidente Kennedy,3.051
Pugmil,2.231
Recursolândia,3.471
Riachinho,4.039
Rio da Conceição,1.822
Rio dos Bois,2.833
Rio Sono,4.798
Sampaio,4.372
Sandolândia,3.873
Santa Fé do Araguaia,7.489
Santa Maria do Tocantins,2.726
Santa Rita do Tocantins,2.291
Santa Rosa do Tocantins,4.789
Santa Tereza do Tocantins,2.889
Santa Terezinha do Tocantins,2.463
São Bento do Tocantins,5.936
São Félix do Tocantins,1.875
São Miguel do Tocantins,13.939
São Salvador do Tocantins,2.385
São Sebastião do Tocantins,4.189
São Valério,4.547
Silvanópolis,5.252
Sítio Novo do Tocantins,11.334
Sucupira,1.599
Taguatinga,14.247
Taipas do Tocantins,2.086
Talismã,2.509
Palmas,323.625
Tocantínia,7.751
Tocantinópolis,23.203
Tupirama,2.003
Tupiratins,1.897
Wanderlândia,10.751
Xambioá,10.683
Açailândia,110.506
Afonso Cunha,6.296
Água Doce do Maranhão,12.446
Alcântara,18.774
Aldeias Altas,23.782
Altamira do Maranhão,6.565
Alto Alegre do Maranhão,24.543
Alto Alegre do Pindaré,26.411
Alto Parnaíba,11.382
Amapá do Maranhão,7.364
Amarante do Maranhão,38.333
Anajatuba,26.221
Anapurus,14.111
Apicum-Açu,17.984
Araguanã,11.347
Araioses,40.278
Arame,26.191
Arari,30.521
Axixá,12.079
Bacabal,107.620
Bacabeira,17.414
Bacuri,16.610
Bacurituba,5.374
Balsas,106.094
Barão de Grajaú,19.458
Barra do Corda,87.672
Barreirinhas,67.999
Belágua,8.716
Bela Vista do Maranhão,12.073
Benedito Leite,5.597
Bequimão,19.983
Bernardo do Mearim,5.983
Boa Vista do Gurupi,7.769
Bom Jardim,34.035
Bom Jesus das Selvas,29.588
Bom Lugar,12.414
Brejo,35.322
Brejo de Areia,9.387
Buriti,30.799
Buriti Bravo,22.940
Buriticupu,56.896
Buritirana,13.157
Cachoeira Grande,10.004
Cajapió,10.342
Cajari,16.711
Campestre do Maranhão,12.553
Cândido Mendes,20.413
Cantanhede,24.976
Capinzal do Norte,11.664
Carolina,24.606
Carutapera,24.855
Caxias,163.428
Cedral,10.444
Central do Maranhão,7.233
Centro do Guilherme,12.668
Centro Novo do Maranhão,16.529
Chapadinha,84.202
Cidelândia,13.152
Codó,118.295
Coelho Neto,42.918
Colinas,41.745
Conceição do Lago-Açu,15.264
Coroatá,61.351
Cururupu,32.608
Davinópolis,14.788
Dom Pedro,23.579
Duque Bacelar,10.448
Esperantinópolis,18.725
Estreito,34.353
Feira Nova do Maranhão,8.236
Fernando Falcão,11.184
Formosa da Serra Negra,18.133
Fortaleza dos Nogueiras,12.951
Fortuna,17.346
Godofredo Viana,10.422
Gonçalves Dias,17.579
Governador Archer,10.472
Governador Edison Lobão,18.908
Governador Eugênio Barros,14.258
Governador Luiz Rocha,7.219
Governador Newton Bello,10.981
Governador Nunes Freire,23.563
Graça Aranha,6.161
Grajaú,76.578
Guimarães,10.470
Humberto de Campos,26.546
Icatu,25.332
Igarapé do Meio,14.350
Igarapé Grande,10.463
Imperatriz,285.146
Itaipava do Grajaú,14.143
Itapecuru Mirim,62.269
Itinga do Maranhão,22.934
Jatobá,7.610
Jenipapo dos Vieiras,17.499
João Lisboa,25.287
Joselândia,15.235
Junco do Maranhão,5.275
Lago da Pedra,45.875
Lago do Junco,9.700
Lago Verde,15.077
Lagoa do Mato,10.809
Lago dos Rodrigues,8.961
Lagoa Grande do Maranhão,11.710
Lajeado Novo,7.227
Lima Campos,11.558
Loreto,11.876
Luís Domingues,7.351
Magalhães de Almeida,14.001
Maracaçumé,21.686
Marajá do Sena,7.165
Maranhãozinho,14.086
Mata Roma,17.537
Matinha,22.530
Matões,33.300
Matões do Norte,17.945
Milagres do Maranhão,9.048
Mirador,21.518
Miranda do Norte,24.377
Mirinzal,14.297
Monção,28.606
Montes Altos,9.309
Morros,18.994
Nina Rodrigues,14.551
Nova Colinas,5.144
Nova Iorque,4.412
Nova Olinda do Maranhão,14.468
Olho d'Água das Cunhãs,18.295
Olinda Nova do Maranhão,13.909
Paço do Lumiar,152.306
Palmeirândia,21.606
Paraibano,18.619
Parnarama,32.256
Passagem Franca,17.592
Pastos Bons,19.246
Paulino Neves,17.523
Paulo Ramos,20.792
Pedreiras,38.267
Pedro do Rosário,24.917
Penalva,33.534
Peri Mirim,11.277
Peritoró,20.910
Pindaré-Mirim,32.521
Pinheiro,87.919
Pio XII,22.369
Pirapemas,18.120
Poção de Pedras,17.444
Porto Franco,24.517
Porto Rico do Maranhão,6.091
Presidente Dutra,46.578
Presidente Juscelino,11.616
Presidente Médici,4.748
Presidente Sarney,17.913
Presidente Vargas,10.791
Primeira Cruz,13.922
Raposa,32.054
Riachão,22.699
Ribamar Fiquene,7.597
Rosário,39.763
Sambaíba,5.701
Santa Filomena do Maranhão,6.839
Santa Helena,43.112
Santa Inês,88.167
Santa Luzia,59.037
Santa Luzia do Paruá,24.870
Santa Quitéria do Maranhão,24.489
Santa Rita,38.446
Santana do Maranhão,10.777
Santo Amaro do Maranhão,14.280
Santo Antônio dos Lopes,14.623
São Benedito do Rio Preto,18.793
São Bento,48.036
São Bernardo,27.887
São Domingos do Azeitão,8.213
São Domingos do Maranhão,35.221
São Félix de Balsas,4.495
São Francisco do Brejão,9.222
São Francisco do Maranhão,12.353
São João Batista,18.909
São João do Carú,12.421
São João do Paraíso,10.105
São João do Soter,17.254
São João dos Patos,25.891
São José de Ribamar,257.414
São José dos Basílios,7.102
São Luís,1.088.057
São Luís Gonzaga do Maranhão,18.153
São Mateus do Maranhão,40.160
São Pedro da Água Branca,14.736
São Pedro dos Crentes,5.965
São Raimundo das Mangabeiras,19.129
São Raimundo do Doca Bezerra,5.767
São Roberto,4.602
São Vicente Ferrer,19.885
Satubinha,8.880
Senador Alexandre Costa,10.445
Senador La Rocque,15.035
Serrano do Maranhão,10.461
Sítio Novo,17.457
Sucupira do Norte,10.471
Sucupira do Riachão,5.088
Tasso Fragoso,9.106
Timbiras,27.344
Timon,182.241
Trizidela do Vale,23.052
Tufilândia,5.633
Tuntum,37.401
Turiaçu,38.905
Turilândia,33.032
Tutóia,55.041
Urbano Santos,34.060
Vargem Grande,44.540
Viana,53.115
Vila Nova dos Martírios,10.575
Vitória do Mearim,31.851
Vitorino Freire,31.906
Zé Doca,41.943
Acauã,6.515
Agricolândia,5.023
Água Branca,18.033
Alagoinha do Piauí,6.901
Alegrete do Piauí,4.713
Alto Longá,13.734
Altos,49.637
Alvorada do Gurguéia,5.459
Amarante,17.577
Angical do Piauí,6.982
Anísio de Abreu,9.631
Antônio Almeida,3.228
Aroazes,5.433
Aroeiras do Itaim,2.766
Arraial,4.593
Assunção do Piauí,7.597
Avelino Lopes,11.106
Baixa Grande do Ribeiro,13.838
Barra D'Alcântara,4.091
Barras,49.533
Barreiras do Piauí,3.334
Barro Duro,6.744
Batalha,27.123
Bela Vista do Piauí,4.208
Belém do Piauí,3.508
Beneditinos,10.104
Bertolínia,5.701
Betânia do Piauí,6.368
Boa Hora,7.108
Bocaina,4.131
Bom Jesus,30.321
Bom Princípio do Piauí,5.786
Bonfim do Piauí,6.089
Boqueirão do Piauí,6.728
Brasileira,8.658
Brejo do Piauí,3.969
Buriti dos Lopes,20.096
Buriti dos Montes,7.538
Cabeceiras do Piauí,10.449
Cajazeiras do Piauí,3.146
Cajueiro da Praia,8.203
Caldeirão Grande do Piauí,5.605
Campinas do Piauí,4.988
Campo Alegre do Fidalgo,4.701
Campo Grande do Piauí,6.188
Campo Largo do Piauí,7.636
Campo Maior,47.074
Canavieira,3.429
Canto do Buriti,19.669
Capitão de Campos,11.347
Capitão Gervásio Oliveira,4.065
Caracol,10.538
Caraúbas do Piauí,5.755
Caridade do Piauí,5.162
Castelo do Piauí,19.663
Caxingó,5.657
Cocal,29.209
Cocal de Telha,5.034
Cocal dos Alves,6.569
Coivaras,4.233
Colônia do Gurguéia,6.287
Colônia do Piauí,7.088
Conceição do Canindé,5.063
Coronel José Dias,4.305
Corrente,28.275
Cristalândia do Piauí,7.454
Cristino Castro,10.772
Curimatá,11.552
Currais,4.968
Curralinhos,4.527
Curral Novo do Piauí,5.185
Demerval Lobão,16.998
Dirceu Arcoverde,7.238
Dom Expedito Lopes,6.421
Domingos Mourão,4.138
Dom Inocêncio,9.335
Elesbão Veloso,13.786
Eliseu Martins,4.435
Esperantina,42.510
Fartura do Piauí,5.414
Flores do Piauí,4.508
Floresta do Piauí,2.364
Floriano,64.150
Francinópolis,4.517
Francisco Ayres,4.494
Francisco Macedo,2.986
Francisco Santos,8.366
Fronteiras,10.382
Geminiano,5.587
Gilbués,11.166
Guadalupe,10.478
Guaribas,4.350
Hugo Napoleão,3.562
Ilha Grande,9.501
Inhuma,15.259
Ipiranga do Piauí,9.620
Isaías Coelho,7.886
Itainópolis,10.980
Itaueira,10.493
Jacobina do Piauí,5.715
Jaicós,17.811
Jardim do Mulato,4.251
Jatobá do Piauí,4.568
Jerumenha,4.600
João Costa,3.031
Joaquim Pires,14.175
Joca Marques,5.535
José de Freitas,44.391
Juazeiro do Piauí,5.311
Júlio Borges,5.499
Jurema,4.505
Lagoinha do Piauí,3.029
Lagoa Alegre,8.449
Lagoa do Barro do Piauí,5.146
Lagoa de São Francisco,6.449
Lagoa do Piauí,5.009
Lagoa do Sítio,4.575
Landri Sales,5.311
Luís Correia,31.775
Luzilândia,26.204
Madeiro,8.218
Manoel Emídio,5.314
Marcolândia,8.783
Marcos Parente,4.848
Massapê do Piauí,5.215
Matias Olímpio,10.875
Miguel Alves,33.071
Miguel Leão,1.352
Milton Brandão,6.678
Monsenhor Gil,10.455
Monsenhor Hipólito,7.751
Monte Alegre do Piauí,10.910
Morro Cabeça no Tempo,4.458
Morro do Chapéu do Piauí,6.547
Murici dos Portelas,10.139
Nazaré do Piauí,6.729
Nazária,10.706
Nossa Senhora de Nazaré,5.406
Nossa Senhora dos Remédios,8.732
Novo Oriente do Piauí,6.178
Novo Santo Antônio,2.886
Oeiras,39.545
Olho D'Água do Piauí,2.725
Padre Marcos,6.481
Paes Landim,4.174
Pajeú do Piauí,3.041
Palmeira do Piauí,5.048
Palmeirais,13.480
Paquetá,3.878
Parnaguá,10.289
Parnaíba,169.552
Passagem Franca do Piauí,4.220
Patos do Piauí,5.461
Pau D'Arco do Piauí,3.972
Paulistana,21.601
Pavussu,3.698
Pedro II,39.039
Pedro Laurentino,2.514
Nova Santa Rita,4.147
Picos,86.228
Pimenteiras,11.528
Pio IX,17.947
Piracuruca,29.849
Piripiri,67.676
Porto,12.312
Porto Alegre do Piauí,2.391
Prata do Piauí,3.098
Queimada Nova,8.936
Redenção do Gurguéia,8.563
Regeneração,17.418
Riacho Frio,4.241
Ribeira do Piauí,4.114
Ribeiro Gonçalves,6.215
Rio Grande do Piauí,5.868
Santa Cruz do Piauí,5.928
Santa Cruz dos Milagres,3.466
Santa Filomena,6.209
Santa Luz,5.425
Santana do Piauí,4.174
Santa Rosa do Piauí,4.690
Santo Antônio de Lisboa,5.938
Santo Antônio dos Milagres,2.189
Santo Inácio do Piauí,3.719
São Braz do Piauí,4.451
São Félix do Piauí,2.885
São Francisco de Assis do Piauí,5.703
São Francisco do Piauí,5.404
São Gonçalo do Gurguéia,3.019
São Gonçalo do Piauí,4.944
São João da Canabrava,4.306
São João da Fronteira,5.615
São João da Serra,6.233
São João da Varjota,4.443
São João do Arraial,8.443
São João do Piauí,22.036
São José do Divino,4.906
São José do Peixe,3.320
São José do Piauí,6.732
São Julião,6.135
São Lourenço do Piauí,4.497
São Luis do Piauí,2.329
São Miguel da Baixa Grande,2.304
São Miguel do Fidalgo,2.870
São Miguel do Tapuio,17.902
São Pedro do Piauí,14.046
São Raimundo Nonato,40.784
Sebastião Barros,3.228
Sebastião Leal,4.572
Sigefredo Pacheco,9.631
Simões,14.650
Simplício Mendes,14.342
Socorro do Piauí,4.184
Sussuapara,6.345
Tamboril do Piauí,3.029
Tanque do Piauí,2.330
Teresina,902.644
União,47.707
Uruçuí,26.501
Valença do Piauí,22.920
Várzea Branca,5.173
Várzea Grande,4.515
Vera Mendes,3.271
Vila Nova do Piauí,2.979
Wall Ferraz,4.117
Abaiara,10.282
Acarape,14.306
Acaraú,68.758
Acopiara,46.215
Aiuaba,14.220
Alcântaras,11.754
Altaneira,6.970
Alto Santo,14.418
Amontada,44.342
Antonina do Norte,7.484
Apuiarés,13.219
Aquiraz,84.737
Aracati,78.752
Aracoiaba,26.696
Ararendá,11.485
Araripe,20.223
Aratuba,11.459
Arneiroz,7.619
Assaré,22.212
Aurora,24.267
Baixio,5.832
Banabuiú,17.654
Barbalha,80.217
Barreira,23.351
Barro,19.669
Barroquinha,14.977
Baturité,36.978
Beberibe,55.666
Bela Cruz,34.441
Boa Viagem,52.169
Brejo Santo,53.778
Camocim,65.031
Campos Sales,26.082
Canindé,77.207
Capistrano,17.760
Caridade,16.419
Cariré,18.075
Caririaçu,27.482
Cariús,17.333
Carnaubal,17.758
Cascavel,76.365
Catarina,9.577
Catunda,10.817
Caucaia,375.730
Cedro,22.678
Chaval,12.805
Choró,12.380
Chorozinho,20.763
Coreaú,21.438
Crateús,79.809
Crato,138.232
Croatá,18.007
Cruz,31.847
Deputado Irapuan Pinheiro,9.172
Ereré,6.393
Eusébio,80.304
Farias Brito,18.557
Forquilha,25.127
Fortaleza,2.574.412
Fortim,18.052
Frecheirinha,16.362
General Sampaio,6.924
Graça,14.174
Granja,55.633
Granjeiro,4.960
Groaíras,11.313
Guaiúba,25.085
Guaraciaba do Norte,44.294
Guaramiranga,5.819
Hidrolândia,18.225
Horizonte,79.934
Ibaretama,12.191
Ibiapina,24.649
Ibicuitinga,11.979
Icapuí,22.367
Icó,64.802
Iguatu,102.251
Independência,24.530
Ipaporanga,11.937
Ipaumirim,12.441
Ipu,42.968
Ipueiras,38.285
Iracema,14.411
Irauçuba,24.751
Itaiçaba,7.779
Itaitinga,70.679
Itapajé,49.086
Itapipoca,137.892
Itapiúna,18.228
Itarema,45.465
Itatira,21.087
Jaguaretama,17.625
Jaguaribara,10.656
Jaguaribe,35.124
Jaguaruana,33.070
Jardim,28.707
Jati,8.100
Jijoca de Jericoacoara,27.662
Juazeiro do Norte,303.004
Jucás,24.591
Lavras da Mangabeira,32.123
Limoeiro do Norte,62.285
Madalena,17.264
Maracanaú,249.684
Maranguape,108.937
Marco,27.064
Martinópole,11.232
Massapê,39.633
Mauriti,47.406
Meruoca,15.749
Milagres,26.860
Milhã,14.635
Miraíma,14.736
Missão Velha,38.767
Mombaça,38.649
Monsenhor Tabosa,17.664
Morada Nova,65.323
Moraújo,8.516
Morrinhos,23.608
Mucambo,14.009
Mulungu,10.993
Nova Olinda,15.960
Nova Russas,32.014
Novo Oriente,29.043
Ocara,25.218
Orós,20.019
Pacajus,74.825
Pacatuba,85.873
Pacoti,11.442
Pacujá,6.345
Palhano,9.671
Palmácia,10.339
Paracuru,41.447
Paraipaba,33.896
Parambu,32.816
Paramoti,10.528
Pedra Branca,42.257
Penaforte,9.308
Pentecoste,39.715
Pereiro,15.869
Pindoretama,24.607
Piquet Carneiro,17.202
Pires Ferreira,10.952
Poranga,12.423
Porteiras,17.745
Potengi,8.926
Potiretama,6.129
Quiterianópolis,20.506
Quixadá,88.483
Quixelô,16.992
Quixeramobim,85.797
Quixeré,21.607
Redenção,28.359
Reriutaba,19.059
Russas,74.582
Saboeiro,14.036
Salitre,17.220
Santana do Acaraú,32.043
Santana do Cariri,17.388
Santa Quitéria,41.647
São Benedito,49.829
São Gonçalo do Amarante,57.499
São João do Jaguaribe,5.792
São Luís do Curu,10.962
Senador Pompeu,25.143
Senador Sá,7.519
Sobral,215.286
Solonópole,18.736
Tabuleiro do Norte,32.044
Tamboril,25.331
Tarrafas,7.626
Tauá,64.255
Tejuçuoca,17.626
Tianguá,86.137
Trairi,61.516
Tururu,15.457
Ubajara,34.312
Umari,6.993
Umirim,17.804
Uruburetama,21.279
Uruoca,14.243
Varjota,18.660
Várzea Alegre,40.771
Viçosa do Ceará,62.609
Acari,10.865
Açu,58.906
Afonso Bezerra,11.149
Água Nova,3.028
Alexandria,14.042
Almino Afonso,4.806
Alto do Rodrigues,12.857
Angicos,11.973
Antônio Martins,6.738
Apodi,37.390
Areia Branca,24.643
Arês,13.657
Campo Grande,10.045
Baía Formosa,9.098
Baraúna,28.268
Barcelona,4.103
Bento Fernandes,4.920
Bodó,2.363
Bom Jesus,10.279
Brejinho,12.603
Caiçara do Norte,6.474
Caiçara do Rio do Vento,3.359
Caicó,63.339
Campo Redondo,10.504
Canguaretama,30.806
Caraúbas,20.161
Carnaúba dos Dantas,8.267
Carnaubais,10.010
Ceará-Mirim,83.009
Cerro Corá,11.322
Coronel Ezequiel,5.241
Coronel João Pessoa,4.315
Cruzeta,8.238
Currais Novos,42.930
Doutor Severiano,7.253
Parnamirim,269.298
Encanto,6.252
Equador,5.476
Espírito Santo,10.936
Extremoz,66.993
Felipe Guerra,6.458
Fernando Pedroza,3.029
Florânia,10.528
Francisco Dantas,2.763
Frutuoso Gomes,4.231
Galinhos,2.160
Goianinha,28.212
Governador Dix-Sept Rosado,12.239
Grossos,10.251
Guamaré,15.947
Ielmo Marinho,11.903
Ipanguaçu,14.539
Ipueira,2.090
Itajá,7.531
Itaú,5.452
Jaçanã,8.051
Jandaíra,6.748
Janduís,4.834
Januário Cicco,8.836
Japi,5.231
Jardim de Angicos,2.493
Jardim de Piranhas,14.416
Jardim do Seridó,11.952
João Câmara,34.768
João Dias,2.093
José da Penha,5.964
Jucurutu,18.286
Jundiá,3.859
Lagoa d'Anta,6.733
Lagoa de Pedras,7.577
Lagoa de Velhos,2.633
Lagoa Nova,16.126
Lagoa Salgada,8.619
